x,y,na_perc_start,na_perc_end
0,5,52.64,0.0
0,6,33.95,0.0
0,7,33.95,0.0
0,8,2.86,0.0
0,9,21.35,0.0
0,10,2.92,0.0
0,11,1.55,0.0
0,13,1.43,0.0
0,14,1.49,0.0
0,15,1.8,0.0
0,16,1.68,0.0
0,17,1.37,0.0
0,18,1.18,0.0
0,19,1.37,0.0
0,20,1.43,0.0
0,21,1.55,0.0
0,22,1.68,0.0
0,23,2.36,0.0
0,24,3.23,0.0
0,25,1.24,0.0
1,5,47.05,0.0
1,6,34.82,0.0
1,7,34.51,0.0
1,8,1.74,0.0
1,9,1.06,0.0
1,10,1.49,0.0
1,11,1.74,0.0
1,12,1.37,0.0
1,13,1.43,0.0
1,14,1.24,0.0
1,15,1.8,0.0
1,16,1.24,0.0
1,17,1.61,0.0
1,18,1.74,0.0
1,19,1.3,0.0
1,20,1.37,0.0
1,21,1.49,0.0
1,22,1.68,0.0
1,23,2.05,0.0
1,24,1.55,0.0
1,25,1.18,0.0
2,5,34.14,0.0
2,6,33.09,0.0
2,7,35.69,0.0
2,8,1.06,0.0
2,9,1.24,0.0
2,10,0.99,0.0
2,11,1.18,0.0
2,12,1.24,0.0
2,13,1.37,0.0
2,14,1.86,0.0
2,15,1.74,0.0
2,17,1.49,0.0
2,18,1.3,0.0
2,19,1.18,0.0
2,20,1.61,0.0
2,21,1.8,0.0
2,22,1.99,0.0
2,23,1.55,0.0
2,24,1.43,0.0
2,25,1.37,0.0
3,5,1.3,0.0
3,6,1.24,0.0
3,7,1.24,0.0
3,8,1.24,0.0
3,9,1.12,0.0
3,10,0.99,0.0
3,11,1.18,0.0
3,12,1.18,0.0
3,13,1.37,0.0
3,14,1.18,0.0
3,15,1.49,0.0
3,16,1.06,0.0
3,17,1.74,0.0
3,18,1.55,0.0
3,19,1.18,0.0
3,20,1.49,0.0
3,21,1.61,0.0
3,22,1.92,0.0
3,23,1.8,0.0
3,24,4.16,0.0
3,25,1.3,0.0
4,5,1.24,0.0
4,6,1.3,0.0
4,7,1.3,0.0
4,8,1.06,0.0
4,9,1.06,0.0
4,10,1.06,0.0
4,11,1.24,0.0
4,12,1.49,0.0
4,13,1.43,0.0
4,14,1.24,0.0
4,15,2.36,0.0
4,16,1.18,0.0
4,17,1.55,0.0
4,18,1.06,0.0
4,19,1.18,0.0
4,20,1.3,0.0
4,21,1.24,0.0
4,22,1.43,0.0
4,23,1.86,0.0
4,24,1.3,0.0
4,25,1.18,0.0
5,4,1.37,0.0
5,5,1.3,0.0
5,6,1.3,0.0
5,7,1.18,0.0
5,8,1.06,0.0
5,9,1.06,0.0
5,10,1.18,0.0
5,11,1.12,0.0
5,12,1.3,0.0
5,13,1.8,0.0
5,14,1.37,0.0
5,15,1.43,0.0
5,16,1.68,0.0
5,17,1.61,0.0
5,18,1.18,0.0
5,19,1.12,0.0
5,20,1.3,0.0
5,21,1.12,0.0
5,22,1.43,0.0
5,23,1.37,0.0
5,24,1.3,0.0
5,25,1.24,0.0
6,3,18.87,0.0
6,4,1.12,0.0
6,5,1.43,0.0
6,6,1.37,0.0
6,7,1.18,0.0
6,8,1.49,0.0
6,9,1.18,0.0
6,10,1.12,0.0
6,11,1.3,0.0
6,12,1.8,0.0
6,13,2.36,0.0
6,14,1.61,0.0
6,15,2.11,0.0
6,16,2.3,0.0
6,17,1.49,0.0
6,18,1.37,0.0
6,19,1.12,0.0
6,20,1.12,0.0
6,21,1.68,0.0
6,22,1.43,0.0
6,23,1.86,0.0
6,24,1.3,0.0
6,25,1.3,0.0
7,2,48.73,0.0
7,3,1.61,0.0
7,4,1.24,0.0
7,5,1.18,0.0
7,6,1.74,0.0
7,7,1.43,0.0
7,8,1.24,0.0
7,9,1.18,0.0
7,10,1.06,0.0
7,11,1.24,0.0
7,12,1.18,0.0
7,13,2.42,0.0
7,14,1.68,0.0
7,15,2.11,0.0
7,16,1.55,0.0
7,17,2.92,0.0
7,18,2.23,0.0
7,19,1.3,0.0
7,20,1.18,0.0
7,21,1.18,0.0
7,22,1.43,0.0
7,23,1.37,0.0
7,24,1.3,0.0
7,25,1.55,0.0
8,2,52.82,0.0
8,3,1.49,0.0
8,4,1.49,0.0
8,5,1.49,0.0
8,6,1.24,0.0
8,7,1.3,0.0
8,8,1.18,0.0
8,9,1.18,0.0
8,10,0.99,0.0
8,11,1.12,0.0
8,12,1.3,0.0
8,13,1.74,0.0
8,14,1.18,0.0
8,15,1.49,0.0
8,16,1.43,0.0
8,17,2.23,0.0
8,18,2.11,0.0
8,19,1.92,0.0
8,20,1.61,0.0
8,21,1.74,0.0
8,22,1.24,0.0
8,23,1.43,0.0
8,24,1.18,0.0
8,25,1.24,0.0
9,3,26.75,0.0
9,4,1.74,0.0
9,5,3.6,0.0
9,6,2.92,0.0
9,7,1.3,0.0
9,8,1.18,0.0
9,9,1.12,0.0
9,10,1.12,0.0
9,11,1.12,0.0
9,12,1.24,0.0
9,13,1.61,0.0
9,14,2.05,0.0
9,15,1.86,0.0
9,16,1.55,0.0
9,17,2.05,0.0
9,18,1.92,0.0
9,19,2.11,0.0
9,20,2.23,0.0
9,21,2.61,0.0
9,22,2.05,0.0
9,23,1.68,0.0
9,24,1.49,0.0
9,25,1.49,0.0
10,4,38.18,0.0
10,5,11.17,0.0
10,6,3.35,0.0
10,7,1.3,0.0
10,8,1.18,0.0
10,9,1.24,0.0
10,10,1.06,0.0
10,11,1.8,0.0
10,12,1.24,0.0
10,13,1.55,0.0
10,14,1.92,0.0
10,15,2.67,0.0
10,16,2.55,0.0
10,17,2.48,0.0
10,18,2.11,0.0
10,19,2.3,0.0
10,20,2.05,0.0
10,21,2.48,0.0
10,22,1.99,0.0
10,23,1.68,0.0
10,24,1.68,0.0
10,25,1.92,0.0
11,4,52.58,0.0
11,5,1.18,0.0
11,6,1.74,0.0
11,7,1.68,0.0
11,8,1.24,0.0
11,9,1.74,0.0
11,10,3.6,0.0
11,11,3.85,0.0
11,12,1.61,0.0
11,13,2.05,0.0
11,14,2.73,0.0
11,15,2.55,0.0
11,16,2.23,0.0
11,17,4.22,0.0
11,18,2.42,0.0
11,19,3.54,0.0
11,20,3.41,0.0
11,21,2.79,0.0
11,22,1.86,0.0
11,23,5.09,0.0
11,24,2.42,0.0
11,25,1.61,0.0
12,5,1.12,0.0
12,6,6.02,0.0
12,7,1.92,0.0
12,8,2.42,0.0
12,9,6.58,0.0
12,10,5.46,0.0
12,11,6.21,0.0
12,12,2.3,0.0
12,13,1.8,0.0
12,14,1.8,0.0
12,15,1.68,0.0
12,16,1.99,0.0
12,17,3.72,0.0
12,18,3.23,0.0
12,19,4.72,0.0
12,20,3.72,0.0
12,21,2.86,0.0
12,22,3.29,0.0
12,23,2.86,0.0
12,24,2.42,0.0
12,25,1.86,0.0
13,4,52.95,0.0
13,5,33.95,0.0
13,6,15.46,0.0
13,7,7.08,0.0
13,8,4.66,0.0
13,9,3.97,0.0
13,10,2.42,0.0
13,11,2.3,0.0
13,12,2.61,0.0
13,13,2.98,0.0
13,14,1.8,0.0
13,15,1.43,0.0
13,16,2.3,0.0
13,17,2.86,0.0
13,18,3.85,0.0
13,19,3.29,0.0
13,20,4.16,0.0
13,21,3.35,0.0
13,22,3.66,0.0
13,23,3.1,0.0
13,24,3.04,0.0
13,25,2.3,0.0
14,4,30.48,0.0
14,5,2.98,0.0
14,6,2.55,0.0
14,7,2.79,0.0
14,8,2.92,0.0
14,9,3.85,0.0
14,10,2.11,0.0
14,11,2.61,0.0
14,12,3.48,0.0
14,13,2.23,0.0
14,14,2.48,0.0
14,15,2.86,0.0
14,16,2.79,0.0
14,17,2.73,0.0
14,18,3.6,0.0
14,19,2.98,0.0
14,20,2.55,0.0
14,21,3.23,0.0
14,22,2.61,0.0
14,23,2.92,0.0
14,24,3.66,0.0
14,25,2.61,0.0
15,4,22.78,0.0
15,5,3.54,0.0
15,6,5.21,0.0
15,7,8.63,0.0
15,8,5.83,0.0
15,9,9.99,0.0
15,10,2.36,0.0
15,11,3.91,0.0
15,12,4.72,0.0
15,13,4.03,0.0
15,14,4.03,0.0
15,15,3.6,0.0
15,16,4.1,0.0
15,17,3.72,0.0
15,18,3.41,0.0
15,19,2.73,0.0
15,20,3.1,0.0
15,21,2.92,0.0
15,22,2.67,0.0
15,23,3.48,0.0
15,24,3.1,0.0
15,25,2.11,0.0
16,5,30.85,0.0
16,6,20.42,0.0
16,7,13.28,0.0
16,8,10.49,0.0
16,9,6.95,0.0
16,10,4.84,0.0
16,11,4.59,0.0
16,12,4.35,0.0
16,13,4.1,0.0
16,14,5.09,0.0
16,15,5.21,0.0
16,16,3.97,0.0
16,17,3.6,0.0
16,18,2.11,0.0
16,19,2.11,0.0
